Eigvals	3
772.0830392712288	941.455206820306	4564.929653595878

Proportion explained	3
0.12297316026887205	0.1499498320071332	0.7270770077239946

Species	562	3
k__Archaea	-0.0010167076224213295	0.032846313347999936	-0.043688455109155
k__Archaea|p__Euryarchaeota	-0.021297892316284588	0.02643245604130268	-0.04327039039078729
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.044373570718323346	0.010874109148058066	-0.04309592837423409
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.04876121263153672	-0.007213571704886898	-0.04238342124616569
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0004148906917215184	0.026733542719843136	-0.04345019161277905
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.00728249644630088	0.03390459442517098	-0.04373783606431437
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	-0.02250994299682949	0.0502870149886043	-0.0442585693770184
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.04101901177939182	0.00802104222760429	-0.042957440145942466
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	-0.007739191581942685	0.02122383996942411	-0.043179678862867416
k__Bacteria	-0.0074334875336972564	-0.021896758713469352	-0.04071273371315023
k__Bacteria|p__Actinobacteria	0.025753769256543442	-0.05396311601402632	-0.039982690212838914
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.015246108914535875	-0.058022186284800666	-0.039719341713906245
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.09390745540084011	-0.1079223223979509	-0.03838853153201095
